Variables,af,ar,bg,bn,ca,cs,da,de,el,en-GB,en,es-ES,es-MX,es,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,ml,mr,ms,nb,nl,pa,pl,pt,ro,ru,sk,sr,sv,ta,te,th,tl,tr,uk,ur,vi,zh-Hans,zh-Hant_HK,zh-Hant_TW,Comments
Enter your email.,,أدخِل بريدك الإلكترونيّ.,,আপনার ইমেইলটি লিখুন।,Introdueix el correu electrònic.,Zadejte svou e-mailovou adresu.,Indtast din e-mail.,Gib Deine E-Mail Adresse ein.,Εισαγάγετε τη διεύθυνση ηλεκτρονικού ταχυδρομείου σας.,Enter your email.,Enter your email.,Introduce tu correo electrónico.,Introduce tu correo electrónico.,Introduce tu correo electrónico.,ایمیلتان را وارد کنید.,Kirjoita sähköpostiosoitteesi.,Entrez votre email.,,הזן את הדואר האלקטרוני שלך.,अपना ईमेल दें.,Unesite svoju adresu e-pošte.,Add meg az e-mail címedet.,Masukkan email Anda.,Inserisci la tua email.,メールアドレスを入力してください。,,이메일 주소를 입력하세요.,,,Masukkan e-mel anda.,Skriv inn e-postadressen din.,Vul je e-mailadres in.,,Wpisz swój adres e-mail.,Digite o seu e-mail.,Introdu-ți adresa de e-mail.,Введите ваш адрес электронной почты.,Zadajte svoj e-mail.,Унеси своју е-пошту.,Ange din e-post.,,,ป้อนอีเมลของคุณ,Ilagay ang email mo.,E-postanı gir.,Введіть свою адресу електронної пошти.,,Nhập email của bạn.,输入你的邮件地址。,輸入你的電子郵件。,輸入你的電子郵件。,Label before email input field
Enter your phone number,Voer jou foonnommer in,أدخل رقم هاتفك,,আপনার ফোন নম্বর লিখুন,,Zadejte telefonní číslo,Indtast dit telefonnummer,Gib deine Telefonnummer an,Γράψτε τον αριθμό τηλεφώνου σας,Enter your phone number,Enter your phone number,Escribe tu número de teléfono,Escribe tu número de teléfono,Escribe tu número de teléfono,,Anna puhelinnumerosi,Saisissez votre numéro de téléphone,તમારો ફોન નંબર દાખલ કરો,הזן את מספר הטלפון שלך,अपना फ़ोन नंबर डालें,Unesite telefonski broj,Add meg a telefonszámodat.,Masukkan nomor telepon Anda,Inserisci il tuo numero di telefono,電話番号を入力してください,,휴대폰 번호 입력,നിങ്ങളുടെ ഫോൺ നമ്പർ നൽകുക,आपला फोन नंबर प्रविष्‍ट करा,Masukkan nombor telefon anda,Skriv inn telefonnummeret ditt,Voer je telefoonnummer in,ਆਪਣਾ ਫ਼ੋਨ ਨੰਬਰ ਦਾਖ਼ਲ ਕਰੋ,,Digite seu número de telefone,Introdu numărul tău de telefon,Введите свой номер телефона,Zadajte svoje telefónne číslo,,Ange ditt telefonnummer,ஃபோன் எண்ணை உள்ளிடவும்,మీ ఫోన్ నంబర్‌ను నమోదు చేయండి,ป้อนหมายเลขโทรศัพท์ของคุณ,Ilagay ang numero ng iyong telepono,,,,Nhập số điện thoại của bạn,输入电话号码,輸入您的手機號碼,輸入手機電話號碼,
Enter your phone.,,أدخِل رقم هاتفك.,,,Introdueix el telèfon.,Zadejte svoje telefonní číslo.,Indtast dit telefonnr.,Telefonnummer eingeben.,Εισαγάγετε το τηλέφωνό σας.,Enter your phone.,Enter your phone.,,Ingresa tu teléfono.,Ingresa tu teléfono.,,Kirjoita puhelinnumerosi.,Entrez votre téléphone.,,הזן את הטלפון שלך.,अपना फ़ोन दर्ज करें.,Unesite telefonski broj.,Add meg a telefonszámodat.,Masukkan ponsel Anda.,Inserisci il tuo numero.,電話番号を入力,,전화번호를 입력해주세요.,,,Masukkan telefon anda.,Skriv inn telefonnummeret ditt.,Vul je telefoonnummer in.,,Wpisz swój numer telefonu.,Digite seu número de celular.,Introdu numărul tău de telefon.,Введите номер телефона.,Zadajte svoj telefón.,,Ange din telefon.,,,ป้อนหมายเลขโทรศัพท์ของคุณ,,Telefon numaranı gir.,Введіть свій номер телефону.,,Nhập điện thoại của bạn.,输入你的手机号码。,輸入你的電話。,輸入你的電話。,Title for secondary Enter Phone in Sign Up flow
Error,,خطأ,,,Error,Chyba,Fejl,Fehler,Σφάλμα,Error,Error,,Error,Error,,Virhe,Erreur,,שגיאה,त्रुटि,Pogreška,Hiba,Permasalahan,Errore,エラー,,오류,,,Ralat,Feil,Fout,,Błąd,Erro,Eroare,Ошибка,Chyba,,Fel,,,ข้อผิดพลาด,,Hata,Помилка,,Lỗi,错误,錯誤,錯誤,Alert view title informing user of an error.
Find your friends,,اعثر على أصدقائك,,আপনার বন্ধুদের খুঁজুন,Troba les amistats,Najděte svoje přátele,Find dine venner,Finde Deine Freunde,Βρείτε τους φίλους σας,Find your friends,Find your friends,Encuentra a tus amigos,Encuentra a tus amigos,Encuentra a tus amigos,دوستانتان را پیدا کنید,Löydä ystäväsi,Trouvez vos amis,,חפש את החברים שלך,अपने मित्रों को खोजें,Pronađite svoje prijatelje,Barátaid megkeresése,Temukan teman Anda,Trova i tuoi amici,友だちを見つける,,친구 찾기,,,Cari rakan anda,Finn vennene dine,Zoek je vrienden,,Znajdź znajomych,Encontre seus amigos,Găsește-ți prietenii,Найдите своих друзей,Vyhľadajte svojich priateľov,Пронађи своје пријатеље,Hitta dina vänner,,,ค้นหาเพื่อนของคุณ,Hanapin ang mga kaibigan mo,Arkadaşlarını bul,Знайдіть своїх друзів,اپنے دوستوں کو تلاش کریں,Tìm bạn bè của bạn,查找你的好友,尋找你的朋友,尋找你的朋友,Title for description explaining what the find your friends feature does
Log In,Meld aan,تسجيل الدخول,,লগ ইন করুন,,Přihlásit se,Log på,Anmelden,Σύνδεση,Log In,Log In,Iniciar sesión,Iniciar sesión,Iniciar sesión,,Kirjaudu sisään,Connexion,લૉગ ઇન કરો,התחבר,लॉग इन करें,Prijava,Bejelentkezés,Masuk,Accedi,ログイン,,로그인,ലോഗിൻ ചെയ്യുക,लॉग इन करा,Log Masuk,Logg inn,Aanmelden,ਲੌਗ ਇਨ ਕਰੋ,,Entrar,Conectare,Вход,Prihlásiť sa,,Logga in,உள்நுழை,లాగిన్ చేయి,เข้าสู่ระบบ,Mag-log In,,,,Đăng nhập,登录,登入,登入,
Log Into %1$@,Meld by %1$@ aan,تسجيل الدخول إلى %1$@,,%1$@ এ লগ ইন করুন,,Přihlaste se k %1$@,Log på %1$@,Melde dich bei %1$@ an,Συνδεθείτε στο %1$@,Log Into %1$@,Log Into %1$@,Iniciar sesión en %1$@,Iniciar sesión en %1$@,Iniciar sesión en %1$@,,Kirjaudu sisään kohteeseen %1$@,Se connecter à %1$@,%1$@ માં લૉગ ઇન કરો,התחבר אל %1$@,%1$@ में लॉग इन करें,Prijavite se na račun %1$@,Bejelentkezés a(z) %1$@ alkalmazásba,Masuk ke %1$@,Accedi a %1$@,%1$@にログイン,,%1$@에 로그인,എന്നതിലേക്ക് ലോഗിൻ ചെയ്യുക %1$@,%1$@ मध्‍ये लॉग इन करा,Log Masuk Ke %1$@,Logg inn på %1$@,Meld je aan bij %1$@,%1$@ ਵਿੱਚ ਲੌਗ ਇਨ ਕਰੋ,,Entrar em %1$@,Conectează-te la %1$@,Выполните вход в %1$@,Prihlásiť sa do účtu %1$@,,Logga in på %1$@,%1$@ இல் உள்நுழையவும்,%1$@కి లాగిన్ చేయండి,เข้าสู่ระบบ %1$@,Mag-log In Sa %1$@,,,,Đăng nhập vào %1$@,登录 %1$@,登入 %1$@,登入 %1$@,
Logging in,,تسجيل الدخول,Влиза се,লগ ইন হচ্ছে,S'està entrant,Přihlašování,Logger ind,Anmeldung läuft,Γίνεται σύνδεση,Logging in,Logging in,Iniciando sesión,Iniciando sesión,Iniciando sesión,ورود به سيستم,Kirjaudutaan sisään,Connexion,,כניסה,लॉगिन कर रहा है,Prijava,Bejelentkezés,Masuk,Accesso in corso,ログイン,ಲಾಗ್ ಇನ್ ಮಾಡಲಾಗುತ್ತದೆ,로그인 중,,लॉगिंग इन,Log masuk,Logger inn,Inloggen...,,Logowanie,Conectando-se,Se conectează,Вход в систему,Prihlasuje sa,Пријављивање,Logga in,உள்நுழைகிறது,,การเข้าสู่ระบบ,Nagla-log in,Giriş  yap,Триває вхід,,Đang đăng nhập,正在登录,登入,登入,Button title for logging-in event
Next,Volgende,التالي,,পরবর্তী,Següent,Další,Næste,Weiter,Επόμενο,Next,Next,Siguiente,Siguiente,Siguiente,,Seuraava,Suivant,આગલું,הבא,अगला,Sljedeće,Következő,Selanjutnya,Avanti,次へ,,다음,അടുത്തത്,पुढील,Seterusnya,Neste,Volgende,ਅਗਲਾ,Dalej,Próximo,Următorul,Далее,Ďalej,,Nästa,அடுத்து,తదుపరి,ถัดไป,Susunod,Sonraki,Далі,,Tiếp theo,下一步,下一步,下一步,Button label to allow the user to skip to the next view in this set of views.
Not now,,ليس الآن,,এখন না,Ara no,Teď ne,Ikke nu,Nicht jetzt,Όχι τώρα,Not Now,Not now,Ahora no,Ahora no,Ahora no,حالا نه,Ei nyt,Pas maintenant,,לא עכשיו,अभी नहीं,Ne sada,Most nem,Jangan sekarang,Non ora,後で,,나중에 다시 보기,,,Bukan sekarang,Ikke nå,Niet nu,,Nie teraz,Agora não,Nu acum,Не сейчас,Teraz nie,Не сада,Inte nu,,,ไม่ใช่ตอนนี้,Hindi ngayon,Şimdi değil,Не зараз,ابھی نہیں,Không phải bây giờ,暂时不用,現在不要,現在不要,Not now button text
Number,Nommer,الرقم,,নম্বর,,Číslo,Nummer,Nummer,Αριθμός,Number,Number,Número,Número,Número,,Numero,Numéro,નંબર,מספר,नंबर,Broj,Szám,Nomor,Numero,電話番号,,번호,നമ്പർ,नंबर,Nombor,Nummer,Nummer,ਨੰਬਰ,,Número,Număr,Номер,Číslo,,Nummer,எண்,నంబర్,หมายเลข,Numero,,,,Số,编号,電話,號碼,
OK,Goed,حسنًا,,ঠিক আছে,D'acord,OK,OK,OK,OK,OK,OK,Aceptar,Aceptar,Aceptar,,OK,OK,ઑકે,אישור,ठीक है,U redu,OK,Oke,OK,OK,,확인,ശരി,ठीक,OK,OK,OK,ਠੀਕ,OK,OK,Bine,OK,OK,,OK,சரி,సరే,ตกลง,OK,TAMAM,Гаразд,,OK,确定,好,好,Generic OK button title
Open the email and confirm your address,Maak die e-pos oop wat ons gestuur het en bevestig jou adres,افتح البريد الإلكتروني الذي تم إرساله وقم بتأكيد عنوانك,,আমরা যে ইমেলটি পাঠিয়েছি সেটি খুলুন এবং আপনার ঠিকানা নিশ্চিত করুন,,"Otevřete e-mail, který jsme vám poslali, a svoji adresu potvrďte","Åbn den e-mail, vi har sendt, og bekræft din adresse","Öffne die E-Mail, die wir dir geschickt haben, und bestätige deine Adresse",Ανοίξτε το email που σας στείλαμε και επιβεβαιώστε τη διεύθυνσή σας,Open the email and confirm your address,Open the email and confirm your address,Abre el correo electrónico que te hemos enviado y confirma tu dirección,Abre el correo electrónico que te enviamos y confirma tu dirección,Abre el correo electrónico que te enviamos y confirma tu dirección,,Avaa lähettämämme sähköpostiviesti ja vahvista osoitteesi,Ouvrez l'e-mail que nous avons envoyé et confirmez votre adresse,અમે મોકલેલ ઇમેઇલ ખોલો અને તમારા સરનામાની પુષ્ટિ કરો,"פתח את הדוא\""ל ששלחנו ואשר את כתובתך",हमारे द्वारा भेजा गया ईमेल खोलें और अपना पता कन्फ़र्म करें,Otvorite poruku e-pošte koju smo vam poslali i potvrdite svoju adresu,"Nyisd meg az általunk küldött e-mailt, és erősítsd meg a címedet.",Buka email yang kami kirimkan dan konfirmasikan alamat Anda,Apri l'e-mail che ti abbiamo inviato e conferma il tuo indirizzo,Facebookから届いたメールを開き、メールアドレスを確認してください。,,Facebook에서 보낸 이메일을 열고 주소를 확인하세요,ഞങ്ങൾ അയച്ച ഇമെയിൽ തുറന്ന് നിങ്ങളുടെ വിലാസം സ്ഥിരീകരിക്കുക,आम्‍ही पाठवलेला ईमेल उघडा आणि आपल्‍या पत्‍त्‍याची पुष्‍टी करा,Buka e-mel yang kami hantar dan sahkan alamat e-mel anda,"Åpne e-posten vi har sendt, og bekreft adressen din",Open de e-mail die we hebben gestuurd en bevestig je e-mailadres,ਸਾਡੇ ਦੁਆਰਾ ਭੇਜੀ ਗਈ ਈਮੇਲ ਖੋਲ੍ਹੋ ਅਤੇ ਆਪਣੇ ਪਤੇ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,,Abra o email que enviamos e confirme o seu endereço,Deschide e-mailul pe care l-am trimis și confirmă adresa ta,"Откройте эл. письмо, которое мы вам отправили, и подтвердите свой эл. адрес","Otvorte e-mail, ktorý sme vám poslali, a potvrďte svoju adresu",,Öppna e-postmeddelandet som vi skickade och bekräfta din adress,"நாங்கள் அனுப்பிய மின்னஞ்சலைத் திறந்து, உங்கள் முகவரியை உறுதிசெய்யவும்","మేము పంపిన ఇమెయిల్‌ను తెరిచి, మీ చిరునామాను నిర్ధారించండి",เปิดอีเมลที่เราส่งถึงคุณและยืนยันที่อยู่ของคุณ,Buksan ang email na ipinadala namin at kumpirmahin ang iyong address,,,,Hãy mở email mà chúng tôi đã gửi và xác nhận địa chỉ của bạn,打开我们发送的邮件并确认你的地址,請開啟我們傳送給您的電郵以確認您的電郵地址,開啟我們發送的電子郵件並確認地址,
Open your Email,Maak jou e-pos oop,فتح البريد الإلكتروني,,আপনার ইমেল খুলুন,,Otevřete e-mail,Åbn din e-mail,Öffne deine E-Mail,Ανοίξτε το email σας,Open your Email,Open your Email,Abre tu correo electrónico,Abre tu correo electrónico,Abre tu correo electrónico,,Avaa sähköpostisi,Ouvrez votre e-mail,તમારી ઈમેઇલ ખોલો,"פתח את הדוא\""ל",अपना ईमेल खोलें,Otvorite e-poštu,Nyisd meg a levelezésedet.,Buka email Anda,Apri la tua e-mail,メールを開く,,이메일 열기,നിങ്ങളുടെ ഇമെയിൽ തുറക്കുക,आपला ईमेल उघडा,Buka e-mel anda,Åpne e-posten din,Open je e-mail,ਆਪਣੀ ਈਮੇਲ ਖੋਲ੍ਹੋ,,Abra o seu email,Deschide e-mailul,Откройте эл. письмо,Otvorte svoj e-mail,,Öppna din e-post,மின்னஞ்சலைத் திறக்கவும்,మీ ఇమెయిల్‌ను తెరవండి,เปิดอีเมลของคุณ,Buksan ang iyong email,,,,Mở email của bạn,打开邮件,開啟您的電郵,開啟電子郵件,
Phone number,,رقم الهاتف,,,Número de telèfon,Telefonní číslo,Telefonnummer,Telefonnummer,Αριθμός τηλεφώνου,Phone number,Phone number,,Número de teléfono,Número de teléfono,,Puhelinnumero,Numéro de téléphone,,מספר טלפון,फ़ोन नंबर,Telefonski broj,Telefonszám,Nomor ponsel,Numero di telefono,電話番号,,휴대폰 번호,,,Nombor telefon,Telefonnummer,Telefoonnummer,,Numer telefonu,Número de Celular,Număr de telefon,Номер телефона,Telefónne číslo,,Telefonnummer,,,เบอร์โทรศัพท์,,Telefon numarası,Номер телефону,,Số điện thoại,手机号码,電話號碼,電話號碼,Shown on label for verify phone number input
Please check your code and try again,,يُرجى التحقق من الرمز وإعادة المحاولة,,অনুগ্রহ করে আপনার কোডটি যাচাই করে নিয়ে আবার চেষ্টা করুন,Comprova el codi i torna a provar-ho,Zkontrolujte kód a zkuste to znovu.,Tjek venligst din kode og prøv igen.,Bitte überprüfe Deinen Code und versuche es erneut,Ελέγξτε τον κωδικό σας και προσπαθήστε ξανά,Please check your code and try again,Please check your code and try again,Revisa tu código e inténtalo de nuevo,Revisa tu código e inténtalo de nuevo,Revisa tu código e inténtalo de nuevo,لطفاً کدتان را بررسی کنید و دوباره امتحان کنید,Tarkista koodi ja yritä uudelleen,Veuillez vérifier votre code et réessayer.,,בדוק את הקוד שלך ונסה שוב,कृपया अपने कोड की जाँच करें और पुन: प्रयास करें,Provjerite svoj kod i pokušajte ponovno,"Kérjük, ellenőrizd a kódod és próbáld meg újra.",Silakan periksa kode Anda dan coba lagi,Controlla il codice e riprova,コードをご確認の上、再度お試しください。,,코드를 확인한 후 다시 시도하세요.,,,Sila semak kod anda dan cuba sekali lagi,"Sjekk koden din, og prøv igjen",Controleer je code en probeer het opnieuw,,Sprawdź kod i spróbuj ponownie.,Verifique seu código e tente novamente,Verifică-ți codul și încearcă din nou,Проверьте код и повторите попытку.,Skontrolujte svoj kód a skúste to znova,Провери свој код и покушај поново,Kontrollera koden och försök igen,,,โปรดตรวจสอบรหัสของคุณและลองใหม่อีกครั้ง,Mangyaring tingnan ang inyong code at subukan ulit,Lütfen kodunu kontrol et ve tekrar dene,Перевірте код і повторіть спробу,برائے مہربانی اپنے کوڈ کی پڑتال کریں اور دوبارہ کوشش کریں۔,Vui lòng kiểm tra mã của bạn và thử lại,请检查你的确认码并重试,請檢查你的代碼，然後再試一次,請檢查你的代碼，然後再試一次,Error text when confirmation code may be invalid
Please check your email and try again,,يُرجى تفقّد بريدك الإلكترونيّ وإعادة المحاولة,,অনুগ্রহ করে আপনার ইমেল চেক করুন এবং আবার চেষ্টা করুন,Comprova el correu electrònic i torna-ho a provar,Zkontrolujte e-mailovou adresu a zkuste to znovu.,Tjek venligst din e-mail og prøv igen,Bitte überprüfe Deine E-Mail Adresse und versuche es erneut,Ελέγξτε το ηλεκτρονικό ταχυδρομείο σας και προσπαθήστε ξανά,Please check your email and try again,Please check your email and try again,"Por favor, revisa tu correo electrónico e inténtalo de nuevo","Por favor, revisa tu correo electrónico e inténtalo de nuevo","Por favor, revisa tu correo electrónico e inténtalo de nuevo",لطفا ایمیل خود را بررسی و دوباره امتحان کنید,Tarkista sähköpostiosoitteesi ja yritä uudelleen,Veuillez vérifier votre adresse email et réessayer,,יש לבדוק את הדואר האלקטרוני שלך ולנסות שוב,कृपया अपनी ईमेल जांचें और पुन: प्रयास करें,Provjerite svoju adresu e-pošte i pokušajte ponovno,"Kérjük, ellenőrizd az e-mail címedet és próbáld meg újra.",Silakan periksa email Anda dan coba lagi,Controlla la tua email e riprova,メールアドレスをご確認の上、再度お試しください。,,이메일 주소를 확인한 후 다시 시도해주세요.,,,Sila semak e-mel anda dan cuba lagi,"Sjekk e-postadressen din, og prøv igjen",Controleer je e-mail en probeer het opnieuw,,Sprawdź adres e-mail i spróbuj ponownie,Verifique seu e-mail e tente novamente,Verifică-ți adresa de e-mail și încearcă din nou,Проверьте вашу электронную почту и повторите попытку.,Skontrolujte svoj e-mail a skúste to znova,Провери своју адресу е-поште и покушај поново,Var god kolla din e-post och försök igen,,,โปรดตรวจสอบอีเมลของคุณและลองใหม่อีกครั้ง,Mangyaring tingnan ang email mo at subukan ulit,Lütfen e-postanı kontrol et ve tekrar dene,"Будь ласка, перевірте адресу електронної пошти та спробуйте ще раз",,Vui lòng kiểm tra email của bạn và thử lại,请检查你的邮箱并重试,請檢查你的電子郵件，然後再試一次,請檢查你的電子郵件，然後再試一次,Error text when email may be invalid
Please check your number and try again,,يُرجى التحقق من الرقم وإعادة المحاولة,,অনুগ্রহ করে আপনার নম্বরটি যাচাই করে নিয়ে আবার চেষ্টা করুন,Comprova el número i torna a provar-ho,Zkontrolujte číslo a zkuste to znovu.,Tjek venligst dit nummer og prøv igen,Bitte überprüfe Deine Telefonnummer und versuche es erneut,Ελέγξτε τον αριθμό σας και προσπαθήστε ξανά,Please check your number and try again,Please check your number and try again,Revisa tu número e inténtalo de nuevo,Revisa tu número e inténtalo de nuevo,Revisa tu número e inténtalo de nuevo,لطفاً شماره تان را بررسی کنید و دوباره امتحان کنید,Tarkista numero ja yritä uudelleen,Veuillez vérifier votre numéro et réessayer.,,בדוק את המספר שלך ונסה שוב,कृपया अपने नंबर की जाँच करें और पुन: प्रयास करें,Provjerite svoj broj i pokušajte ponovno,"Kérjük, ellenőrizd a számod és próbáld meg újra",Silakan periksa nomor Anda dan coba lagi,Controlla il tuo numero e riprova,番号をご確認の上、再度お試しください。,,휴대폰 번호를 확인한 후 다시 시도하세요.,,,Sila semak nombor anda dan cuba sekali lagi.,"Sjekk nummeret ditt, og prøv igjen",Controleer je nummer en probeer het opnieuw,,Sprawdź numer i spróbuj ponownie.,Verifique seu número e tente novamente,Verifică-ți numărul și încearcă din nou,Проверьте свой номер и повторите попытку.,Skontrolujte svoje číslo a skúste to znova,Провери свој број и покушај поново,Kontrollera numret och försök igen,,,โปรดตรวจสอบหมายเลขโทรศัพท์ของคุณและลองใหม่อีกครั้ง,Mangyaring tingnan ang numero ninyo at subukan ulit,Lütfen numaranı kontrol et ve tekrar dene,Перевірте свій номер і спробуйте ще раз.,برائے مہربانی اپنے نمبر کی پڑتال کریں اور دوبارہ کوشش کریں-,Vui lòng kiểm tra số của bạn và thử lại,请检查你的手机号码并重试,請檢查你的號碼，然後再試一次,請檢查你的號碼，然後再試一次,Error text when number may be invalid
Please enter a valid phone number.,,يُرجى إدخال رقم هاتف صحيح.,,,Introdueix un número de telèfon vàlid.,Zadejte platné telefonní číslo.,Indtast venligst et gyldigt telefonnummer.,Bitte gib eine gültige Telefonnummer ein.,Εισαγάγετε έναν έγκυρο αριθμό τηλεφώνου.,Please enter a valid phone number.,Please enter a valid phone number.,,"Por favor, ingresa un número de teléfono válido.","Por favor, ingresa un número de teléfono válido.",,Kirjoita toimiva puhelinnumero.,Veuillez entrer un numéro de téléphone valide.,,הזן מספר טלפון חוקי.,कृपया एक मान्य फ़ोन नंबर दर्ज करें.,Unesite valjan broj telefona.,"Kérjük, adj meg egy érvényes telefonszámot.",Mohon masukkan nomor ponsel yang sah.,Inserisci un numero di telefono valido.,有効な電話番号を入力してください。,,올바른 휴대폰 번호를 입력해주세요.,,,Sila masukkan nombor telefon yang sah.,Skriv inn et gyldig telefonnummer.,Voer een geldig telefoonnummer in.,,Wpisz prawidłowy numer telefonu.,Digite um número de celular válido.,Trebuie să introduci un număr de telefon valid.,Укажите действительный номер телефона.,Zadajte platné telefónne číslo.,,Vänligen ange ett giltigt telefonnummer.,,,โปรดป้อนหมายเลขโทรศัพท์ที่ถูกต้อง,,Lütfen geçerli bir telefon numarası gir.,Введіть дійсний номер телефону.,,Vui lòng nhập số điện thoại di động hợp lệ.,请输入有效的手机号码。,請輸入有效的電話號碼。,請輸入有效的電話號碼。,User entered an invalid phone number
Resend code,,اعادة إرسال الرمز,,,Reenvia el codi,Znovu odeslat kód,Send kode igen,Code erneut senden,Επανάληψη αποστολής κωδικού,,Resend code,,Reenviar código,Reenviar código,,Lähetä koodi uudelleen,Renvoyer le code,,שלח מחדש את הקוד,कोड पुन: भेजें,Ponovno pošaljite kod,Kód újraküldése,Kirim ulang kode,Reinvia codice,コードを再送信,,코드 다시 보내기,,,Hantar semula kod,Send koden på nytt,Verstuur code opnieuw,,Wyślij kod ponownie,Reenviar código,Retrimite codul,Отправить код ещё раз,Preposlať kód,,Skicka koden igen,,,ส่งรหัสอีกครั้ง,,Kodu yeniden gönder,Надіслати код ще раз,,Gửi lại mã,重新发送确认码,重新發送代碼,重新發送代碼,Resend code message
Resend Email,Stuur weer e-pos,إعادة إرسال البريد الإلكتروني,,ইমেল পুনরায় পাঠান,,Poslat e-mail znovu,Send e-mail igen,E-Mail erneut senden,Επανάληψη αποστολής email,Resend Email,Resend Email,Volver a enviar el mensaje,Reenviar correo electrónico,Reenviar correo electrónico,,Lähetä sähköpostiviesti uudelleen,Renvoyer l'e-mail,ઇમેઇલ ફરીથી મોકલો,"שלח שוב דוא\""ל",ईमेल फिर से भेजें,Ponovno pošalji e-poštu,E-mail újraküldése,Kirim Ulang Email,Invia nuovamente e-mail,メールを再送信,,이메일 다시 보내기,ഇമെയിൽ വീണ്ടും അയയ്‌ക്കുക,ईमेल पुन्‍हा पाठवा,Hantar Semula E-mel,Send e-post på nytt,E-mail opnieuw verzenden,ਈਮੇਲ ਨੂੰ ਦੁਬਾਰਾ ਭੇਜੋ,,Reenviar email,Retrimite e-mailul,Повторная отправка эл. письма,Poslať e-mail znova,,Skicka meddelandet igen,மின்னஞ்சலை மீண்டும் அனுப்பவும்,ఇమెయిల్‌ను మళ్లీ పంపు,ส่งอีเมลอีกครั้ง,Ipadala Muli ang Email,,,,Gửi lại email,重新发送邮件,重新傳送電郵,重寄電子郵件,
Resend SMS,Stuur weer SMS,إعادة إرسال رسالة SMS,,পুনরায় SMS পাঠান,,Znovu poslat SMS,Send sms igen,SMS erneut senden,Επανάληψη αποστολής SMS,Resend SMS,Resend SMS,Volver a enviar SMS,Reenviar SMS,Reenviar SMS,,Lähetä tekstiviesti uudelleen,Renvoyer le SMS,SMS ફરીથી મોકલો,שלח SMS שוב,SMS फिर से भेजें,Ponovno pošalji SMS,SMS újraküldése,Kirim ulang SMS,Invia nuovamente l'SMS,SMSを再送信,,SMS 다시 보내기,SMS വീണ്ടും അയയ്‌ക്കുക,SMS परत पाठवा,Hantar semula SMS,Send SMS på nytt,Sms-bericht opnieuw verzenden,SMS ਦੁਬਾਰਾ ਭੇਜੋ,,Reenviar SMS,Retrimite SMS,Еще раз отправить SMS,Poslať SMS znova,,Skicka om sms:et,SMS ஐ மீண்டும் அனுப்பு,SMSను మళ్లీ పంపు,ส่ง SMS อีกครั้ง,Ipadala muli ang SMS,,,,Gửi lại SMS,重新发送短信,重新傳送短訊,重發簡訊,
Retry,,إعادة المحاولة,,পুনরায় চেষ্টা করুন,Prova-ho de nou,Opakovat,Prøv igen,Wiederholen,Επανάληψη,Retry,Retry,Reintentar,Reintentar,Reintentar,تلاش مجدد,Yritä uudelleen,Réessayer,,ניסיון חוזר,पुनः प्रयास करें,Pokušaj ponovno,Újra,Ulangi,Riprova,再読込,,다시 시도,,,Cuba semula,Prøv igjen,Probeer opnieuw,,Ponów próbę,Tentar novamente,Reîncearcă,Повторить,Skúsiť znova,Покушај поново,Försök igen,,,ลองใหม่,Subukan muli,Tekrar Dene,Повторити,پھر کوشش کریں,Thử lại,重试,重試,重試,Retry button text
Select Your Country,Kies jou land,حدد بلدك,,আপনার দেশ নির্বাচন করুন,,Vyberte zemi,Vælg dit land,Wähle dein Land aus,Επιλέξτε τη χώρα σας,Select Your Country,Select Your Country,Selecciona tu país,Selecciona tu país,Selecciona tu país,,Valitse maasi,Sélectionnez votre pays,તમારો દેશ પસંદ કરો,בחר את המדינה שלך,अपने देश का चयन करें,Odaberite državu,Válaszd ki az országodat.,Pilih Negara Anda,Seleziona il tuo Paese,国を選択,,국가 선택,നിങ്ങളുടെ രാജ്യം തിരഞ്ഞെടുക്കൂ,आपला देश निवड,Pilih Negara Anda,Velg landet ditt,Selecteer je land,ਆਪਣਾ ਦੇਸ਼ ਚੁਣੋ,,Selecione seu país,Selectează țara,Выберите свою страну,Vyberte svoju krajinu,,Välj land,நாட்டைத் தேர்ந்தெடுக்கவும்,మీ దేశాన్ని ఎంచుకోండి,เลือกประเทศของคุณ,Piliin ang Iyong Bansa,,,,Chọn quốc gia của bạn,选择国家/地区,選擇您的國家／地區,選擇國家／地區,
Send,Stuur,إرسال,,পাঠান,,Poslat,Send,Senden,Αποστολή,Send,Send,Enviar,Enviar,Enviar,,Lähetä,Envoyer,મોકલો,שלח,भेजें,Pošalji,Küldd el.,Kirim,Invia,送信,,보내기,അയയ്‌ക്കുക,पाठवा,Hantar,Send,Verzenden,ਭੇਜੋ,,Enviar,Trimite,Отправить,Poslať,,Skicka,அனுப்பு,పంపు,ส่ง,Ipadala,,,,Gửi,发送,傳送,發送,
